rows    | tot_costs   | exec_time(ms)  | exec_time_cs| ncond | role        | av_data   
155     | 2300.29     | 50.447         | 5.3248      | 1     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
2       | 2108.74     | 30.565         | 3.3406      | 2     | tfog_abells_u|   13995064
22      | 2108.74     | 28.951         | 3.187       | 2     | tfog_abells_u|   13995064
0       | 2108.74     | 32.206         | 3.5015      | 2     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2301.98     | 33.443         | 3.6491      | 2     | tfog_acoast_u|   12304975
0       | 2301.98     | 35.72          | 3.8644      | 2     | tfog_acoast_u|   12304975
1       | 2301.98     | 41.383         | 4.4287      | 2     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
3       | 2110.48     | 33.469         | 3.639       | 3     | tfog_abells_u|   13995064
0       | 2110.48     | 28.641         | 3.1803      | 3     | tfog_abells_u|   13995064
6       | 2110.48     | 41.505         | 4.4631      | 3     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2304.06     | 40.613         | 4.3675      | 3     | tfog_acoast_u|   12304975
9       | 2304.06     | 51.177         | 5.4224      | 3     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
0       | 2112.28     | 30.689         | 3.3769      | 4     | tfog_abells_u|   13995064
1       | 2112.28     | 29.028         | 3.2134      | 4     | tfog_abells_u|   13995064
0       | 2112.28     | 33.264         | 3.6242      | 4     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2306.18     | 33.33          | 3.6463      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 35.773         | 3.9088      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 41.342         | 4.4421      | 4     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
1       | 2114.09     | 32.872         | 3.5919      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 28.168         | 3.128       | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 40.102         | 4.3208      | 5     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2308.33     | 40.172         | 4.3152      | 5     | tfog_acoast_u|   12304975
0       | 2308.33     | 50.001         | 5.3066      | 5     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
11      | 2107.38     | 30.839         | 3.3791      | 0     | tfog_abells_u|   13995064
700     | 2107.38     | 29.908         | 3.2949      | 0     | tfog_abells_u|   13995064
